Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 04:22:44.731000,VER,33,,2.0,2.0,,,0 days 00:00:54.169000,0 days 00:01:32.540000,0 days 00:00:51.665000,0 days 04:20:20.657000,0 days 04:21:53.161000,0 days 04:22:44.922000,178.0,116.0,157.0,129.0,False,WET,3.0,False,Red Bull Racing,0 days 04:19:26.382000,2021-08-29 16:20:27.509,1,1.0,False,,False,False,13.4,96.2,969.7,True,15.3,337,0.5
0 days 04:22:47.156000,RUS,63,,2.0,2.0,,,0 days 00:00:54.706000,0 days 00:01:32.105000,0 days 00:00:51.993000,0 days 04:20:23.115000,0 days 04:21:55.255000,0 days 04:22:47.329000,197.0,120.0,160.0,142.0,False,WET,2.0,True,Williams,0 days 04:19:28.437000,2021-08-29 16:20:29.564,1,2.0,False,,False,False,13.4,96.2,969.7,True,15.3,337,0.5
0 days 04:22:48.059000,HAM,44,,2.0,1.0,,,0 days 00:00:55.741000,0 days 00:01:32.236000,0 days 00:00:51.124000,0 days 04:20:24.848000,0 days 04:21:57.067000,0 days 04:22:48.242000,158.0,94.0,164.0,159.0,False,UNKNOWN,2.0,False,Mercedes,0 days 04:19:28.918000,2021-08-29 16:20:30.045,1,3.0,False,,False,False,13.4,96.2,969.7,True,15.3,337,0.5
0 days 04:22:50.040000,RIC,3,,2.0,1.0,,,0 days 00:00:55.219000,0 days 00:01:31.923000,0 days 00:00:52.045000,0 days 04:20:26.181000,0 days 04:21:58.052000,0 days 04:22:50.218000,156.0,91.0,160.0,197.0,False,UNKNOWN,2.0,False,McLaren,0 days 04:19:30.915000,2021-08-29 16:20:32.042,1,4.0,False,,False,False,13.4,96.2,969.7,True,15.3,337,0.5
0 days 04:22:52.332000,VET,5,,2.0,1.0,,,0 days 00:00:54.306000,0 days 00:01:32.277000,0 days 00:00:51.913000,0 days 04:20:28.230000,0 days 04:22:00.509000,0 days 04:22:52.516000,129.0,122.0,175.0,194.0,False,UNKNOWN,2.0,False,Aston Martin,0 days 04:19:33.809000,2021-08-29 16:20:34.936,1,5.0,False,,False,False,13.4,96.2,969.7,True,15.3,337,0.5
0 days 04:22:55.818000,GAS,10,,2.0,1.0,,,0 days 00:00:54.363000,0 days 00:01:30.553000,0 days 00:00:54.368000,0 days 04:20:31.001000,0 days 04:22:01.548000,0 days 04:22:56.014000,182.0,125.0,163.0,182.0,False,UNKNOWN,2.0,False,AlphaTauri,0 days 04:19:36.522000,2021-08-29 16:20:37.649,1,6.0,False,,False,False,13.4,96.2,969.7,True,15.3,337,0.5
0 days 04:22:56.456000,OCO,31,,2.0,1.0,,,0 days 00:00:58.745000,0 days 00:01:25.828000,0 days 00:00:53.947000,0 days 04:20:36.772000,0 days 04:22:02.608000,0 days 04:22:56.638000,210.0,139.0,171.0,175.0,False,UNKNOWN,2.0,False,Alpine,0 days 04:19:38.002000,2021-08-29 16:20:39.129,1,7.0,False,,False,False,13.4,96.2,969.7,True,15.3,337,0.5
0 days 04:22:58.146000,LEC,16,,2.0,1.0,,,0 days 00:00:59.842000,0 days 00:01:24.586000,0 days 00:00:54.753000,0 days 04:20:38.871000,0 days 04:22:03.489000,0 days 04:22:58.304000,170.0,127.0,155.0,166.0,False,UNKNOWN,2.0,False,Ferrari,0 days 04:19:39.034000,2021-08-29 16:20:40.161,1,8.0,False,,False,False,13.4,96.2,969.7,True,15.3,337,0.5
0 days 04:23:00.709000,LAT,6,,2.0,2.0,,,0 days 00:00:58.061000,0 days 00:01:25.074000,0 days 00:00:55.732000,0 days 04:20:40.019000,0 days 04:22:05.039000,0 days 04:23:00.885000,163.0,127.0,145.0,,False,WET,2.0,True,Williams,0 days 04:19:41.919000,2021-08-29 16:20:43.046,1,9.0,False,,False,False,13.4,96.2,969.7,True,15.3,337,0.5
0 days 04:23:01.449000,SAI,55,,2.0,1.0,,,0 days 00:00:58.724000,0 days 00:01:24.409000,0 days 00:00:55.793000,0 days 04:20:41.343000,0 days 04:22:05.752000,0 days 04:23:01.618000,163.0,138.0,163.0,187.0,False,UNKNOWN,2.0,False,Ferrari,0 days 04:19:42.539000,2021-08-29 16:20:43.666,1,10.0,False,,False,False,13.4,96.2,969.7,True,15.3,337,0.5
