Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:21:49.007000,PER,11,0 days 00:01:28.147000,7.0,1.0,,,0 days 00:00:24.602000,0 days 00:00:33.482000,0 days 00:00:30.063000,0 days 00:20:45.477000,0 days 00:21:18.959000,0 days 00:21:49.022000,243.0,224.0,281.0,324.0,True,SOFT,6.0,True,Force India,0 days 00:20:20.860000,2018-05-13 13:26:27.684,1,13.0,False,,False,True,16.7,51.5,1001.3,False,36.6,37,0.9
0 days 00:23:15.864000,PER,11,0 days 00:01:26.857000,8.0,1.0,,,0 days 00:00:24.410000,0 days 00:00:33.059000,0 days 00:00:29.388000,0 days 00:22:13.432000,0 days 00:22:46.491000,0 days 00:23:15.879000,244.0,228.0,280.0,323.0,True,SOFT,7.0,True,Force India,0 days 00:21:49.007000,2018-05-13 13:27:55.831,1,13.0,False,,False,True,16.3,50.9,1001.4,False,36.7,52,1.0
0 days 00:43:00.743000,PER,11,0 days 00:01:23.845000,22.0,1.0,,,0 days 00:00:23.503000,0 days 00:00:31.564000,0 days 00:00:28.778000,0 days 00:42:00.416000,0 days 00:42:31.980000,0 days 00:43:00.758000,269.0,263.0,277.0,309.0,False,SOFT,21.0,True,Force India,0 days 00:41:36.898000,2018-05-13 13:47:43.722,1,10.0,False,,False,True,15.7,52.8,1001.5,False,29.7,57,2.5
0 days 01:06:54.506000,PER,11,0 days 00:01:24.038000,39.0,2.0,,,0 days 00:00:23.222000,0 days 00:00:31.813000,0 days 00:00:29.003000,0 days 01:05:53.705000,0 days 01:06:25.518000,0 days 01:06:54.521000,267.0,208.0,279.0,309.0,False,MEDIUM,13.0,True,Force India,0 days 01:05:30.468000,2018-05-13 14:11:37.292,12,10.0,False,,False,True,15.9,51.7,1001.6,False,32.2,27,1.1
0 days 01:34:17.127000,PER,11,0 days 00:01:22.003000,58.0,3.0,,,0 days 00:00:22.676000,0 days 00:00:31.206000,0 days 00:00:28.121000,0 days 01:33:17.815000,0 days 01:33:49.021000,0 days 01:34:17.142000,270.0,260.0,282.0,339.0,False,SOFT,24.0,False,Force India,0 days 01:32:55.124000,2018-05-13 14:39:01.948,1,9.0,False,,False,True,16.9,49.5,1001.6,False,32.9,64,2.5
0 days 01:35:39.601000,PER,11,0 days 00:01:22.474000,59.0,3.0,,,0 days 00:00:23.179000,0 days 00:00:31.068000,0 days 00:00:28.227000,0 days 01:34:40.321000,0 days 01:35:11.389000,0 days 01:35:39.616000,,249.0,284.0,315.0,False,SOFT,25.0,False,Force India,0 days 01:34:17.127000,2018-05-13 14:40:23.951,1,9.0,False,,False,True,16.7,50.4,1001.5,False,32.4,279,2.2
0 days 01:37:02.473000,PER,11,0 days 00:01:22.872000,60.0,3.0,,,0 days 00:00:23.615000,0 days 00:00:31.200000,0 days 00:00:28.057000,0 days 01:36:03.231000,0 days 01:36:34.431000,0 days 01:37:02.488000,268.0,257.0,280.0,316.0,False,SOFT,26.0,False,Force India,0 days 01:35:39.601000,2018-05-13 14:41:46.425,1,9.0,False,,False,True,17.0,49.1,1001.5,False,32.4,52,2.4
0 days 01:38:24.785000,PER,11,0 days 00:01:22.312000,61.0,3.0,,,0 days 00:00:23.425000,0 days 00:00:30.900000,0 days 00:00:27.987000,0 days 01:37:25.913000,0 days 01:37:56.813000,0 days 01:38:24.800000,273.0,262.0,281.0,309.0,False,SOFT,27.0,False,Force India,0 days 01:37:02.473000,2018-05-13 14:43:09.297,1,9.0,False,,False,True,17.0,50.1,1001.6,False,32.3,64,2.2
0 days 01:39:47.041000,PER,11,0 days 00:01:22.256000,62.0,3.0,,,0 days 00:00:23.292000,0 days 00:00:30.840000,0 days 00:00:28.124000,0 days 01:38:48.092000,0 days 01:39:18.932000,0 days 01:39:47.056000,,254.0,281.0,,False,SOFT,28.0,False,Force India,0 days 01:38:24.785000,2018-05-13 14:44:31.609,1,9.0,False,,False,True,17.1,49.6,1001.6,False,31.6,65,2.3
0 days 01:41:09.644000,PER,11,0 days 00:01:22.603000,63.0,3.0,,,0 days 00:00:23.524000,0 days 00:00:30.874000,0 days 00:00:28.205000,0 days 01:40:10.580000,0 days 01:40:41.454000,0 days 01:41:09.659000,269.0,263.0,279.0,305.0,False,SOFT,29.0,False,Force India,0 days 01:39:47.041000,2018-05-13 14:45:53.865,1,9.0,False,,False,True,16.9,49.5,1001.5,False,30.7,99,2.3
0 days 01:42:34.996000,PER,11,0 days 00:01:25.352000,64.0,3.0,,,0 days 00:00:23.501000,0 days 00:00:31.231000,0 days 00:00:30.620000,0 days 01:41:33.160000,0 days 01:42:04.391000,0 days 01:42:35.011000,271.0,253.0,110.0,308.0,False,SOFT,30.0,False,Force India,0 days 01:41:09.644000,2018-05-13 14:47:16.468,1,9.0,False,,False,True,16.9,49.5,1001.5,False,30.7,99,2.3
0 days 00:21:47.292000,ALO,14,0 days 00:01:27.750000,7.0,1.0,,,0 days 00:00:24.582000,0 days 00:00:32.963000,0 days 00:00:30.205000,0 days 00:20:44.159000,0 days 00:21:17.122000,0 days 00:21:47.327000,255.0,242.0,277.0,322.0,True,SUPERSOFT,9.0,False,McLaren,0 days 00:20:19.542000,2018-05-13 13:26:26.366,1,10.0,False,,False,True,16.7,51.5,1001.3,False,36.6,37,0.9
0 days 00:23:13.354000,ALO,14,0 days 00:01:26.062000,8.0,1.0,,,0 days 00:00:24.421000,0 days 00:00:32.476000,0 days 00:00:29.165000,0 days 00:22:11.748000,0 days 00:22:44.224000,0 days 00:23:13.389000,250.0,243.0,273.0,309.0,True,SUPERSOFT,10.0,False,McLaren,0 days 00:21:47.292000,2018-05-13 13:27:54.116,1,10.0,False,,False,True,16.3,50.9,1001.4,False,36.7,52,1.0
0 days 01:06:48.296000,ALO,14,0 days 00:01:22.807000,39.0,2.0,,,0 days 00:00:23.374000,0 days 00:00:30.967000,0 days 00:00:28.466000,0 days 01:05:48.898000,0 days 01:06:19.865000,0 days 01:06:48.331000,266.0,261.0,283.0,,False,MEDIUM,18.0,True,McLaren,0 days 01:05:25.489000,2018-05-13 14:11:32.313,12,9.0,False,,False,True,15.9,51.7,1001.6,False,32.2,27,1.1
0 days 01:34:02.962000,ALO,14,0 days 00:01:21.945000,58.0,2.0,,,0 days 00:00:23.322000,0 days 00:00:30.715000,0 days 00:00:27.908000,0 days 01:33:04.374000,0 days 01:33:35.089000,0 days 01:34:02.997000,272.0,268.0,274.0,,False,MEDIUM,37.0,True,McLaren,0 days 01:32:41.017000,2018-05-13 14:38:47.841,1,8.0,False,,False,True,16.9,49.5,1001.6,False,32.9,64,2.5
0 days 01:35:25.299000,ALO,14,0 days 00:01:22.337000,59.0,2.0,,,0 days 00:00:23.413000,0 days 00:00:30.637000,0 days 00:00:28.287000,0 days 01:34:26.410000,0 days 01:34:57.047000,0 days 01:35:25.334000,273.0,264.0,274.0,,False,MEDIUM,38.0,True,McLaren,0 days 01:34:02.962000,2018-05-13 14:40:09.786,1,8.0,False,,False,True,16.7,50.4,1001.5,False,32.4,279,2.2
0 days 01:36:47.615000,ALO,14,0 days 00:01:22.316000,60.0,2.0,,,0 days 00:00:23.881000,0 days 00:00:30.523000,0 days 00:00:27.912000,0 days 01:35:49.215000,0 days 01:36:19.738000,0 days 01:36:47.650000,272.0,266.0,276.0,299.0,False,MEDIUM,39.0,True,McLaren,0 days 01:35:25.299000,2018-05-13 14:41:32.123,1,8.0,False,,False,True,16.8,50.2,1001.4,False,32.3,76,1.8
0 days 01:38:08.811000,ALO,14,0 days 00:01:21.196000,61.0,2.0,,,0 days 00:00:23.143000,0 days 00:00:30.302000,0 days 00:00:27.751000,0 days 01:37:10.793000,0 days 01:37:41.095000,0 days 01:38:08.846000,277.0,268.0,277.0,302.0,True,MEDIUM,40.0,True,McLaren,0 days 01:36:47.615000,2018-05-13 14:42:54.439,1,8.0,False,,False,True,17.0,50.1,1001.6,False,32.3,64,2.2
0 days 01:39:29.781000,ALO,14,0 days 00:01:20.970000,62.0,2.0,,,0 days 00:00:23.124000,0 days 00:00:30.125000,0 days 00:00:27.721000,0 days 01:38:31.970000,0 days 01:39:02.095000,0 days 01:39:29.816000,272.0,269.0,277.0,300.0,True,MEDIUM,41.0,True,McLaren,0 days 01:38:08.811000,2018-05-13 14:44:15.635,1,8.0,False,,False,True,17.1,49.6,1001.6,False,31.6,65,2.3
