Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:37:57.848000,HAM,44,0 days 00:01:16.355000,4.0,1.0,,,0 days 00:00:20.100000,0 days 00:00:35.917000,0 days 00:00:20.338000,0 days 00:37:01.617000,0 days 00:37:37.534000,0 days 00:37:57.872000,192.0,189.0,256.0,275.0,True,SOFT,9.0,False,Mercedes,0 days 00:36:41.493000,2019-05-26 13:16:41.953,1,1.0,False,,False,True,22.3,53.1,1011.1,False,34.3,268,1.2
0 days 01:24:32.839000,HAM,44,0 days 00:01:17.762000,38.0,2.0,,,0 days 00:00:20.515000,0 days 00:00:36.404000,0 days 00:00:20.843000,0 days 01:23:35.616000,0 days 01:24:12.020000,0 days 01:24:32.863000,193.0,192.0,258.0,280.0,False,MEDIUM,27.0,True,Mercedes,0 days 01:23:15.077000,2019-05-26 14:03:15.537,1,1.0,False,,False,True,22.3,53.1,1010.8,False,31.6,57,1.5
0 days 01:38:47.639000,HAM,44,0 days 00:01:17.428000,49.0,2.0,,,0 days 00:00:20.252000,0 days 00:00:36.456000,0 days 00:00:20.720000,0 days 01:37:50.487000,0 days 01:38:26.943000,0 days 01:38:47.663000,189.0,190.0,262.0,279.0,False,MEDIUM,38.0,True,Mercedes,0 days 01:37:30.211000,2019-05-26 14:17:30.671,1,1.0,False,,False,True,22.8,52.8,1010.8,False,30.9,0,1.2
0 days 02:08:28.366000,HAM,44,0 days 00:01:17.530000,72.0,2.0,,,0 days 00:00:20.056000,0 days 00:00:36.790000,0 days 00:00:20.684000,0 days 02:07:30.916000,0 days 02:08:07.706000,0 days 02:08:28.390000,195.0,197.0,262.0,278.0,False,MEDIUM,61.0,True,Mercedes,0 days 02:07:10.836000,2019-05-26 14:47:11.296,1,1.0,False,,False,True,23.0,54.1,1010.7,False,30.6,159,1.1
0 days 02:09:45.819000,HAM,44,0 days 00:01:17.453000,73.0,2.0,,,0 days 00:00:20.020000,0 days 00:00:36.636000,0 days 00:00:20.797000,0 days 02:08:48.410000,0 days 02:09:25.046000,0 days 02:09:45.843000,198.0,198.0,262.0,284.0,False,MEDIUM,62.0,True,Mercedes,0 days 02:08:28.366000,2019-05-26 14:48:28.826,1,1.0,False,,False,True,23.0,53.5,1010.7,False,30.6,115,1.6
0 days 02:11:03.403000,HAM,44,0 days 00:01:17.584000,74.0,2.0,,,0 days 00:00:19.970000,0 days 00:00:36.895000,0 days 00:00:20.719000,0 days 02:10:05.813000,0 days 02:10:42.708000,0 days 02:11:03.427000,196.0,197.0,263.0,287.0,False,MEDIUM,63.0,True,Mercedes,0 days 02:09:45.819000,2019-05-26 14:49:46.279,1,1.0,False,,False,True,23.0,53.7,1010.7,False,30.6,151,2.4
0 days 02:12:21.142000,HAM,44,0 days 00:01:17.739000,75.0,2.0,,,0 days 00:00:20.001000,0 days 00:00:36.988000,0 days 00:00:20.750000,0 days 02:11:23.428000,0 days 02:12:00.416000,0 days 02:12:21.166000,,199.0,262.0,281.0,False,MEDIUM,64.0,True,Mercedes,0 days 02:11:03.403000,2019-05-26 14:51:03.863,1,1.0,False,,False,True,23.0,54.1,1010.7,False,30.4,158,0.9
0 days 02:13:38.591000,HAM,44,0 days 00:01:17.449000,76.0,2.0,,,0 days 00:00:19.975000,0 days 00:00:36.605000,0 days 00:00:20.869000,0 days 02:12:41.141000,0 days 02:13:17.746000,0 days 02:13:38.615000,194.0,193.0,263.0,288.0,False,MEDIUM,65.0,True,Mercedes,0 days 02:12:21.142000,2019-05-26 14:52:21.602,1,1.0,False,,False,True,23.2,53.0,1010.7,False,30.5,147,1.7
0 days 02:14:56.561000,HAM,44,0 days 00:01:17.970000,77.0,2.0,,,0 days 00:00:19.927000,0 days 00:00:36.994000,0 days 00:00:21.049000,0 days 02:13:58.542000,0 days 02:14:35.536000,0 days 02:14:56.585000,198.0,198.0,269.0,286.0,False,MEDIUM,66.0,True,Mercedes,0 days 02:13:38.591000,2019-05-26 14:53:39.051,1,1.0,False,,False,True,23.2,52.8,1010.6,False,30.8,167,1.4
0 days 00:38:02.683000,VET,5,0 days 00:01:16.906000,4.0,1.0,,,0 days 00:00:20.219000,0 days 00:00:36.199000,0 days 00:00:20.488000,0 days 00:37:06.072000,0 days 00:37:42.271000,0 days 00:38:02.759000,196.0,194.0,263.0,284.0,True,SOFT,7.0,False,Ferrari,0 days 00:36:45.777000,2019-05-26 13:16:46.237,1,4.0,False,,False,True,22.3,53.1,1011.1,False,34.3,268,1.2
