Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 03:39:11.437000,VER,1,0 days 00:01:46.813000,14.0,3.0,,,0 days 00:00:38.833000,0 days 00:00:47.451000,0 days 00:00:20.529000,0 days 03:38:03.532000,0 days 03:38:50.983000,0 days 03:39:11.512000,270.0,292.0,248.0,275.0,False,INTERMEDIATE,7.0,True,Red Bull Racing,0 days 03:37:24.624000,2022-10-09 07:38:24.901,1,1.0,False,,False,True,15.8,91.0,1015.2,False,18.2,339,2.9
0 days 03:40:58.785000,VER,1,0 days 00:01:47.348000,15.0,3.0,,,0 days 00:00:39.017000,0 days 00:00:47.755000,0 days 00:00:20.576000,0 days 03:39:50.529000,0 days 03:40:38.284000,0 days 03:40:58.860000,,292.0,248.0,270.0,False,INTERMEDIATE,8.0,True,Red Bull Racing,0 days 03:39:11.437000,2022-10-09 07:40:11.714,1,1.0,False,,False,True,15.9,91.0,1015.2,False,18.3,347,2.5
0 days 03:38:09.597000,GAS,10,0 days 00:01:49.131000,13.0,4.0,,,0 days 00:00:39.615000,0 days 00:00:48.686000,0 days 00:00:20.830000,0 days 03:37:00.184000,0 days 03:37:48.870000,0 days 03:38:09.700000,,291.0,246.0,275.0,False,INTERMEDIATE,6.0,True,AlphaTauri,0 days 03:36:20.466000,2022-10-09 07:37:20.743,1,16.0,False,,False,True,15.9,91.0,1015.0,False,18.3,335,2.4
0 days 03:39:59.935000,GAS,10,0 days 00:01:50.338000,14.0,4.0,,,0 days 00:00:40.093000,0 days 00:00:49.347000,0 days 00:00:20.898000,0 days 03:38:49.793000,0 days 03:39:39.140000,0 days 03:40:00.038000,265.0,290.0,244.0,275.0,False,INTERMEDIATE,7.0,True,AlphaTauri,0 days 03:38:09.597000,2022-10-09 07:39:09.874,1,16.0,False,,False,True,15.9,91.0,1015.2,False,18.3,353,3.0
0 days 03:41:49.698000,GAS,10,0 days 00:01:49.763000,15.0,4.0,,,0 days 00:00:39.894000,0 days 00:00:48.906000,0 days 00:00:20.963000,0 days 03:40:39.932000,0 days 03:41:28.838000,0 days 03:41:49.801000,,290.0,243.0,274.0,False,INTERMEDIATE,8.0,True,AlphaTauri,0 days 03:39:59.935000,2022-10-09 07:41:00.212,1,16.0,False,,False,True,15.9,91.0,1015.0,False,18.3,354,2.5
0 days 03:37:39.816000,PER,11,0 days 00:01:47.120000,13.0,3.0,,,0 days 00:00:38.394000,0 days 00:00:48.056000,0 days 00:00:20.670000,0 days 03:36:31.167000,0 days 03:37:19.223000,0 days 03:37:39.893000,267.0,292.0,245.0,277.0,False,INTERMEDIATE,6.0,True,Red Bull Racing,0 days 03:35:52.696000,2022-10-09 07:36:52.973,1,3.0,False,,False,True,15.9,91.0,1015.0,False,18.3,335,2.4
0 days 03:39:27.069000,PER,11,0 days 00:01:47.253000,14.0,3.0,,,0 days 00:00:38.712000,0 days 00:00:47.959000,0 days 00:00:20.582000,0 days 03:38:18.605000,0 days 03:39:06.564000,0 days 03:39:27.146000,266.0,292.0,246.0,273.0,False,INTERMEDIATE,7.0,True,Red Bull Racing,0 days 03:37:39.816000,2022-10-09 07:38:40.093,1,3.0,False,,False,True,15.8,91.0,1015.2,False,18.2,339,2.9
0 days 03:41:14.456000,PER,11,0 days 00:01:47.387000,15.0,3.0,,,0 days 00:00:38.791000,0 days 00:00:48.010000,0 days 00:00:20.586000,0 days 03:40:05.937000,0 days 03:40:53.947000,0 days 03:41:14.533000,268.0,292.0,247.0,274.0,False,INTERMEDIATE,8.0,True,Red Bull Racing,0 days 03:39:27.069000,2022-10-09 07:40:27.346,1,3.0,False,,False,True,15.9,91.0,1015.2,False,18.3,347,2.5
0 days 03:37:53.713000,ALO,14,0 days 00:01:46.965000,13.0,3.0,,,0 days 00:00:38.750000,0 days 00:00:47.762000,0 days 00:00:20.453000,0 days 03:36:45.579000,0 days 03:37:33.341000,0 days 03:37:53.794000,,294.0,250.0,279.0,True,INTERMEDIATE,5.0,True,Alpine,0 days 03:36:06.748000,2022-10-09 07:37:07.025,1,7.0,False,,False,True,15.9,91.0,1015.0,False,18.3,335,2.4
0 days 03:39:40.390000,ALO,14,0 days 00:01:46.677000,14.0,3.0,,,0 days 00:00:38.459000,0 days 00:00:47.688000,0 days 00:00:20.530000,0 days 03:38:32.253000,0 days 03:39:19.941000,0 days 03:39:40.471000,,294.0,249.0,281.0,True,INTERMEDIATE,6.0,True,Alpine,0 days 03:37:53.713000,2022-10-09 07:38:53.990,1,7.0,False,,False,True,15.9,91.0,1015.2,False,18.3,353,3.0
